Nama Toko;Merek;Model/Spesifikasi;Harga;
Dua Putri Komputer;HP;14S-DQ3110TU | PROC:CEL N4500 | SSD:256GB | RAM:4GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 4.800.000;
Dua Putri Komputer;HP;14S-DQ3109TU | PROC:CEL N4500 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 5.050.000;
Dua Putri Komputer;HP;240-G8 | PROC:CORE i3-1115G | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 6.200.000;
Dua Putri Komputer;HP;14S-FQ1009AU | PROC:RYZEN 3-5300U | SSD:512GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 6.750.000;
Dua Putri Komputer;LENOVO;IP1 14IGL7 | PROC:CEL N4020 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11;Rp 4.300.000;
Dua Putri Komputer;LENOVO;IP1 14IAU7 | PROC:CORE i3-1215U | SSD:512GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11;Rp 6.800.000;
Dua Putri Komputer;LENOVO;V14-G2 | PROC:RYZEN 3-5300U | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11;Rp 6.000.000;
Dua Putri Komputer;ACER;AL 14-31P | PROC:CEL N100 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 5.300.000;
Dua Putri Komputer;ACER;TMP 214-41 | PROC:RYZEN3PRO-5450U | SSD:256GB | RAM:4GB | LAYAR:14 INCH | OS:WIN 11;Rp 6.000.000;
Dua Putri Komputer;ACER;AL 14-51M | PROC:CORE i3-1215U | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 6.600.000;
Dua Putri Komputer;ASUS;A416MAO | PROC:CEL N4020 | SSD:256GB | RAM:4GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 4.650.000;
Dua Putri Komputer;ASUS;14FLIP TP1400K | PROC:CEL N4500 | SSD:256GB | RAM:8GB | LAYAR:TC,14 INCH | OS:WIN 11+OHS;Rp 7.000.000;
Dua Putri Komputer;ASUS;A416MAO | PROC:CEL N4020 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 4.950.000;
Dua Putri Komputer;ASUS;A1410EA | PROC:CORE i3-1115G4 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11+OHS;Rp 6.400.000;
Dua Putri Komputer;ASUS;E210MAO | PROC:CELERON N4020 | SSD:512GB | RAM:8GB | LAYAR:11.6 INCH | OS:WIN 11+OHS;Rp 4.650.000;
Dua Putri Komputer;ADVAN;SG14S01 | PROC:CEL N4020 | SSD:128GB | RAM:4GB | LAYAR:14 INCH | OS:WIN 11;Rp 2.700.000;
Dua Putri Komputer;ADVAN;WORKPLUS | PROC:RYZEN 5-6600H | SSD:512GB | RAM:16GB | LAYAR:14 INCH | OS:WIN 11;Rp 7.600.000;
Dua Putri Komputer;ADVAN;WORKPRO | PROC:CORE i5-1035G7 | SSD:256GB | RAM:8GB | LAYAR:14 INCH | OS:WIN 11;Rp 5.460.000;
Israf Komputer Kendari;ASUS;E410K - INTEL CELERON N4500 / RAM 4GB SSD 256GB / BACKLITE / WIN11 OHS;Rp 5.400.000;
Israf Komputer Kendari;ASUS;A416MAO - FHD426 CELERON N4020 / RAM 8GB DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 5.300.000;
Israf Komputer Kendari;ASUS;A1400KA - FHD427 CELERON N4020 / RAM 8GB DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 6.200.000;
Israf Komputer Kendari;ASUS;E1404FA - AMD RYZEN 3 7320U / RAM 8GB DDR4 / SSD 256GB / WIN11 OHS / FHD 14';Rp 7.000.000;
Israf Komputer Kendari;ASUS;E1404FA - AMD RYZEN 3 7320U / RAM 8GB DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 7.400.000;
Israf Komputer Kendari;ASUS;E1404GA - IPS322 CORE i3 1215U / RAM 8GB DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 7.500.000;
Israf Komputer Kendari;ASUS;E1404GA - CORE i3 1215U / RAM 8GB DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 7.850.000;
Israf Komputer Kendari;ASUS;A1404ZA - VIPS552 CORE i5 1215U / RAM 8GB DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 10.200.000;
Israf Komputer Kendari;ASUS;GO E1404FA - FHD555 RYZEN 5 7320U / RAM 8GB DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 8.800.000;
Israf Komputer Kendari;ASUS;TP1400K INTEL CELERON N4500 / RAM 8GB SSD 512GB / TOUCHSCREEN / FLIP 360 / FHD 14'' / WIN 11;Rp 8.000.000;
Israf Komputer Kendari;ASUS;E1504FA-OLED 353-AMD RYZEN 3 / RAM 8GB SSD 512GB / 15' INCH / WIN 11 OHS / OLED;Rp 8.500.000;
Israf Komputer Kendari;ASUS;TUF A15 FA506NC-R535B6T-O / RYZEN 5 7535HS / RAM 8GB SSD 512GB / RTX 2050 4GB /WIN 11 OHS;Rp 12.500.000;
Israf Komputer Kendari;ASUS;TUF A15 FA506NC-R535B6T-O / RYZEN 5 7535HS / RAM 16GB SSD 512GB / RTX 3050 4GB / WIN 11 OHS;Rp 13.500.000;
Israf Komputer Kendari;ASUS;TUF F15 FX517ZC CORE i5 12450H / RAM 8GB / SSD 512GB / RTX 3050 4GB / WIN 11 OHS / FHD 15';Rp 14.000.000;
Israf Komputer Kendari;ACER;ASPIRE LITE AL14-31P-C0G4 CELERON N100 / RAM 8 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 5.700.000;
